Make,Model,Year,Engine Fuel Type,Engine HP,Transmission Type,Driven_Wheels,Vehicle Size,Vehicle Style,Popularity,MSRP,Price(Ksh),Engine CC(ltrs)
Audi,100,1993,regular unleaded,172,MANUAL,all wheel drive,Midsize,Sedan,3105,2000,220000,2.3
Audi,100,1994,regular unleaded,172,AUTOMATIC,front wheel drive,Midsize,Wagon,3105,2000,220000,2.3
Audi,200,1990,regular unleaded,162,AUTOMATIC,front wheel drive,Midsize,Sedan,3105,2000,220000,1.8
Audi,200,1991,regular unleaded,162,AUTOMATIC,front wheel drive,Midsize,Sedan,3105,2000,220000,1.8
Audi,80,1990,regular unleaded,108,MANUAL,front wheel drive,Compact,Sedan,3105,2000,220000,1.6
Audi,80,1990,regular unleaded,130,MANUAL,all wheel drive,Compact,Sedan,3105,2000,220000,1.6
Audi,80,1991,regular unleaded,130,MANUAL,front wheel drive,Compact,Sedan,3105,2000,220000,1.9
Audi,80,1992,regular unleaded,130,MANUAL,front wheel drive,Compact,Sedan,3105,2000,220000,1.6
Audi,90,1993,regular unleaded,172,MANUAL,all wheel drive,Compact,Sedan,3105,2000,220000,2.3
Audi,90,1994,regular unleaded,172,MANUAL,all wheel drive,Compact,Sedan,3105,2000,220000,2.3
Audi,90,1995,regular unleaded,172,MANUAL,all wheel drive,Compact,Sedan,3105,2000,220000,2.3
Audi,A3,2015,diesel,150,AUTOMATED_MANUAL,front wheel drive,Compact,Sedan,3105,35150,3866500,1.4
Audi,A3,2015,premium unleaded (recommended),220,AUTOMATED_MANUAL,all wheel drive,Compact,Sedan,3105,33200,3652000,1.4
Audi,A3,2015,premium unleaded (recommended),170,AUTOMATED_MANUAL,front wheel drive,Compact,Convertible,3105,44050,4845500,1.4
Audi,A3,2016,premium unleaded (recommended),220,AUTOMATED_MANUAL,all wheel drive,Compact,Sedan,3105,34200,3762000,1.4
Audi,A3,2016,diesel,150,AUTOMATED_MANUAL,front wheel drive,Compact,Sedan,3105,33200,3652000,1.4
Audi,A3,2016,premium unleaded (recommended),170,AUTOMATED_MANUAL,front wheel drive,Compact,Convertible,3105,39300,4323000,1.4
Audi,A3,2017,premium unleaded (recommended),220,AUTOMATED_MANUAL,all wheel drive,Compact,Sedan,3105,43150,4746500,1.4
Audi,A3,2017,premium unleaded (recommended),186,AUTOMATED_MANUAL,front wheel drive,Compact,Sedan,3105,40150,4416500,1.4
Audi,A4 allroad,2017,premium unleaded (recommended),252,AUTOMATED_MANUAL,all wheel drive,Midsize,Wagon,3105,51400,5654000,2.1
Audi,A4,2015,premium unleaded (required),220,AUTOMATIC,all wheel drive,Midsize,Sedan,3105,45000,4950000,2.1
Audi,A4,2016,premium unleaded (required),220,MANUAL,all wheel drive,Midsize,Sedan,3105,37000,4070000,2.1
Audi,Audi,Audi,Audi,252,AUTOMATED_MANUAL,front wheel drive,Midsize,Sedan,3105,37300,4103000,2.1
Audi,A4,2017,premium unleaded (recommended),190,AUTOMATED_MANUAL,front wheel drive,Midsize,Sedan,3105,34900,3839000,2.8
Audi,A5,2016,premium unleaded (required),220,AUTOMATIC,all wheel drive,Midsize,Coupe,3105,43800,4818000,2.8
Audi,A5,2017,flex-fuel (premium unleaded recommended/E85),220,MANUAL,all wheel drive,Midsize,Coupe,3105,41200,4532000,2.8
Audi,A6,2015,diesel,240,AUTOMATIC,all wheel drive,Midsize,Sedan,3105,58700,6457000,2.8
Audi,A6,2015,premium unleaded (recommended),220,AUTOMATIC,all wheel drive,Midsize,Sedan,3105,50450,5549500,2.8
Audi,A6,2015,premium unleaded (required),310,AUTOMATIC,all wheel drive,Midsize,Sedan,3105,60100,6611000,2.8
Audi,A6,2016,premium unleaded (recommended),252,AUTOMATIC,all wheel drive,Midsize,Sedan,3105,52100,5731000,2.8
Audi,A6,2016,diesel,240,AUTOMATIC,all wheel drive,Midsize,Sedan,3105,59500,6545000,2.8
Audi,A6,2016,premium unleaded (required),333,AUTOMATIC,all wheel drive,Midsize,Sedan,3105,61600,6776000,2.8
Audi,A6,2017,premium unleaded (recommended),252,AUTOMATIC,all wheel drive,Midsize,Sedan,3105,53800,5918000,3.1
Audi,A6,2017,premium unleaded (required),333,AUTOMATIC,all wheel drive,Midsize,Sedan,3105,61600,6776000,3.1
Audi,A6,2017,premium unleaded (required),340,AUTOMATIC,all wheel drive,Midsize,Sedan,3105,67600,7436000,3.1
Audi,A7,2015,premium unleaded (required),310,AUTOMATIC,all wheel drive,Large,Sedan,3105,65900,7249000,3.1
