Make,Model,Year,Fuel_Type,HP,Transmission,Drive_Wheels,Vehicle_Size,Vehicle_Style,Popularity,MSRP,Engine_CC
0,1,1993.0,8,172.0,3,0,2,14,3105.0,2000.0,2.3
0,1,1994.0,8,172.0,1,2,2,15,3105.0,2000.0,2.3
0,3,1990.0,8,162.0,1,2,2,14,3105.0,2000.0,1.8
0,3,1991.0,8,162.0,1,2,2,14,3105.0,2000.0,1.8
0,19,1990.0,8,108.0,3,2,0,14,3105.0,2000.0,1.6
0,19,1990.0,8,130.0,3,0,0,14,3105.0,2000.0,1.6
0,19,1991.0,8,130.0,3,2,0,14,3105.0,2000.0,1.9
0,19,1992.0,8,130.0,3,2,0,14,3105.0,2000.0,1.6
0,20,1993.0,8,172.0,3,0,0,14,3105.0,2000.0,2.3
0,20,1994.0,8,172.0,3,0,0,14,3105.0,2000.0,2.3
0,20,1995.0,8,172.0,3,0,0,14,3105.0,2000.0,2.3
0,21,2015.0,1,150.0,0,2,0,14,3105.0,35150.0,1.4
0,21,2015.0,6,220.0,0,0,0,14,3105.0,33200.0,1.4
0,21,2015.0,6,170.0,0,2,0,6,3105.0,44050.0,1.4
0,21,2016.0,6,220.0,0,0,0,14,3105.0,34200.0,1.4
0,21,2016.0,1,150.0,0,2,0,14,3105.0,33200.0,1.4
0,21,2016.0,6,170.0,0,2,0,6,3105.0,39300.0,1.4
0,21,2017.0,6,220.0,0,0,0,14,3105.0,43150.0,1.4
0,21,2017.0,6,186.0,0,2,0,14,3105.0,40150.0,1.4
0,23,2017.0,6,252.0,0,0,2,15,3105.0,51400.0,2.1
0,22,2015.0,7,220.0,1,0,2,14,3105.0,45000.0,2.1
0,22,2016.0,7,220.0,3,0,2,14,3105.0,37000.0,2.1
0,38,,0,252.0,0,2,2,14,3105.0,37300.0,2.1
0,22,2017.0,6,190.0,0,2,2,14,3105.0,34900.0,2.8
0,24,2016.0,7,220.0,1,0,2,8,3105.0,43800.0,2.8
0,24,2017.0,3,220.0,3,0,2,8,3105.0,41200.0,2.8
0,25,2015.0,1,240.0,1,0,2,14,3105.0,58700.0,2.8
0,25,2015.0,6,220.0,1,0,2,14,3105.0,50450.0,2.8
0,25,2015.0,7,310.0,1,0,2,14,3105.0,60100.0,2.8
0,25,2016.0,6,252.0,1,0,2,14,3105.0,52100.0,2.8
0,25,2016.0,1,240.0,1,0,2,14,3105.0,59500.0,2.8
0,25,2016.0,7,333.0,1,0,2,14,3105.0,61600.0,2.8
0,25,2017.0,6,252.0,1,0,2,14,3105.0,53800.0,3.1
0,25,2017.0,7,333.0,1,0,2,14,3105.0,61600.0,3.1
0,25,2017.0,7,340.0,1,0,2,14,3105.0,67600.0,3.1
0,26,2015.0,7,310.0,1,0,1,14,3105.0,65900.0,3.1
0,26,2015.0,1,240.0,1,0,1,14,3105.0,68300.0,3.1
0,26,2016.0,1,240.0,1,0,1,14,3105.0,70400.0,2.0
0,26,2016.0,7,333.0,1,0,1,14,3105.0,68300.0,2.0
0,26,2017.0,7,333.0,1,0,1,14,3105.0,68800.0,2.0
0,27,2016.0,1,240.0,1,0,1,14,3105.0,85200.0,3.0
0,27,2016.0,7,500.0,1,0,1,14,3105.0,137900.0,3.0
0,27,2016.0,7,450.0,1,0,1,14,3105.0,90500.0,3.0
0,27,2016.0,7,333.0,1,0,1,14,3105.0,81500.0,3.0
0,27,2017.0,7,450.0,1,0,1,14,3105.0,91500.0,3.0
0,27,2017.0,7,333.0,1,0,1,14,3105.0,82500.0,3.0
0,146,2003.0,8,250.0,3,0,2,15,3105.0,39950.0,3.0
0,146,2004.0,8,300.0,1,0,2,15,3105.0,46950.0,3.0
0,146,2004.0,8,250.0,1,0,2,15,3105.0,39950.0,3.0
0,146,2005.0,8,250.0,3,0,2,15,3105.0,40250.0,2.2
0,146,2005.0,8,300.0,1,0,2,15,3105.0,47250.0,3.0
0,145,2014.0,6,220.0,1,0,2,15,3105.0,40700.0,3.0
0,145,2015.0,6,220.0,1,0,2,15,3105.0,44500.0,3.0
0,145,2016.0,6,220.0,1,0,2,15,3105.0,42700.0,3.0
0,50,1996.0,8,172.0,1,2,0,6,3105.0,2631.0,3.0
0,50,1997.0,8,172.0,1,2,0,6,3105.0,2837.0,3.0
0,50,1998.0,8,172.0,1,2,0,6,3105.0,3137.0,3.0
0,65,1990.0,8,164.0,3,0,0,0,3105.0,2000.0,3.0
0,65,1991.0,8,164.0,3,0,0,0,3105.0,2000.0,3.0
0,95,2015.0,6,200.0,1,2,0,3,3105.0,32500.0,3.0
0,95,2016.0,6,200.0,1,2,0,3,3105.0,38600.0,3.0
0,95,2017.0,6,200.0,1,2,0,3,3105.0,34500.0,3.0
0,96,2015.0,7,272.0,1,0,2,3,3105.0,52900.0,3.0
0,96,2015.0,1,240.0,1,0,2,3,3105.0,47500.0,3.0
0,96,2015.0,7,245.0,1,0,2,3,3105.0,51900.0,3.0
0,96,2015.0,7,220.0,1,0,2,3,3105.0,42200.0,4.4
0,96,2016.0,7,272.0,1,0,2,3,3105.0,53500.0,3.3
0,96,2016.0,7,220.0,1,0,2,3,3105.0,40900.0,4.4
0,96,2016.0,7,245.0,1,0,2,3,3105.0,52500.0,4.4
0,96,2016.0,1,240.0,1,0,2,3,3105.0,48100.0,4.4
0,96,2017.0,7,272.0,1,0,2,3,3105.0,53200.0,4.4
0,96,2017.0,3,220.0,1,0,2,3,3105.0,40900.0,4.4
0,97,2014.0,1,240.0,1,0,1,3,3105.0,64900.0,3.0
0,97,2014.0,7,333.0,1,0,1,3,3105.0,60900.0,1.5
0,97,2014.0,7,280.0,1,0,1,3,3105.0,47700.0,1.5
0,97,2015.0,7,333.0,1,0,1,3,3105.0,61900.0,1.5
0,97,2015.0,1,240.0,1,0,1,3,3105.0,53400.0,1.5
0,97,2015.0,7,280.0,1,0,1,3,3105.0,54800.0,2.9
0,97,2017.0,7,333.0,1,0,1,3,3105.0,58800.0,2.9
0,98,2014.0,7,525.0,3,0,0,6,3105.0,164700.0,2.9
0,98,2014.0,7,430.0,3,0,0,6,3105.0,128400.0,2.9
0,98,2014.0,7,550.0,0,0,0,8,3105.0,179645.0,2.9
0,98,2015.0,7,550.0,0,0,0,6,3105.0,199600.0,2.9
0,98,2015.0,7,430.0,0,0,0,6,3105.0,138400.0,2.9
0,98,2015.0,7,525.0,3,0,0,6,3105.0,166100.0,2.9
0,98,2015.0,7,570.0,0,0,0,8,3105.0,199900.0,2.9
0,98,2017.0,7,540.0,0,0,0,8,3105.0,162900.0,3.0
0,98,2017.0,7,610.0,0,0,0,8,3105.0,189900.0,3.0
0,99,2007.0,7,420.0,3,0,0,14,3105.0,66000.0,3.0
0,99,2008.0,7,420.0,3,0,0,6,3105.0,81900.0,3.0
0,100,2013.0,7,450.0,0,0,2,6,3105.0,77900.0,3.0
0,100,2014.0,7,450.0,0,0,2,8,3105.0,69600.0,3.0
0,100,2015.0,7,450.0,0,0,2,6,3105.0,79200.0,1.5
0,101,2003.0,7,450.0,1,0,2,14,3105.0,82700.0,1.5
0,102,2015.0,7,560.0,1,0,1,14,3105.0,106500.0,1.5
0,102,2016.0,7,560.0,1,0,1,14,3105.0,108900.0,5.0
0,102,2017.0,7,560.0,1,0,1,14,3105.0,110700.0,5.0
0,105,2015.0,7,292.0,0,0,0,14,3105.0,41100.0,5.0
0,105,2016.0,7,292.0,0,0,0,14,3105.0,42500.0,5.0
0,105,2017.0,7,292.0,0,0,0,14,3105.0,48400.0,5.0
0,106,2014.0,7,333.0,0,0,2,14,3105.0,49500.0,5.0
0,106,2015.0,7,333.0,3,0,2,14,3105.0,48400.0,5.0
0,106,2016.0,7,333.0,0,0,2,14,3105.0,56100.0,5.0
0,107,2016.0,7,333.0,0,0,2,6,3105.0,67350.0,5.0
0,107,2017.0,7,333.0,3,0,2,8,3105.0,53100.0,5.0
0,108,2015.0,7,420.0,0,0,2,14,3105.0,75500.0,5.0
0,108,2016.0,7,450.0,0,0,2,14,3105.0,70900.0,5.0
0,108,2017.0,7,450.0,0,0,2,14,3105.0,74100.0,1.6
0,109,2015.0,7,420.0,0,0,1,14,3105.0,82500.0,1.6
0,109,2016.0,7,450.0,0,0,1,14,3105.0,82900.0,1.6
0,109,2017.0,7,450.0,0,0,1,14,3105.0,82900.0,1.6
0,110,2015.0,7,520.0,1,0,1,14,3105.0,114900.0,1.6
0,110,2016.0,7,520.0,1,0,1,14,3105.0,114900.0,1.6
0,110,2016.0,7,605.0,1,0,1,14,3105.0,114900.0,1.6
0,110,2017.0,6,605.0,1,0,1,14,3105.0,115900.0,1.6
0,111,2015.0,7,354.0,1,0,2,3,3105.0,52700.0,1.6
0,111,2016.0,7,354.0,1,0,2,3,3105.0,53300.0,1.6
0,111,2017.0,7,354.0,1,0,2,3,3105.0,60800.0,5.0
0,121,2012.0,7,360.0,3,0,0,8,3105.0,56850.0,5.0
0,121,2013.0,7,360.0,3,0,0,8,3105.0,57200.0,5.0
0,120,2015.0,6,211.0,0,0,0,6,3105.0,43350.0,5.0
0,120,2016.0,6,220.0,0,0,0,8,3105.0,42900.0,5.0
0,120,2017.0,6,220.0,0,0,0,6,3105.0,47000.0,5.0
0,122,2015.0,7,265.0,0,0,0,6,3105.0,51700.0,5.0
